frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.289,0.886
2,1.610,1.030
3,1.626,1.064
4,1.829,1.170
5,2.091,1.290
6,2.313,1.286
7,2.478,1.335
8,2.526,1.388
9,2.518,1.457
10,2.333,1.350
11,2.434,1.373
12,2.473,1.392
13,2.645,1.485
14,2.667,1.498
15,2.687,1.556
16,2.799,1.527
17,2.882,1.493
18,2.985,1.549
19,3.115,1.747
20,3.200,1.764
21,3.253,1.791
22,3.065,1.740
23,2.998,1.722
24,3.288,1.772
25,3.381,1.909
26,3.183,1.815
27,3.138,1.760
28,3.322,1.855
29,3.403,1.845
30,3.381,1.710
31,3.668,1.831
32,3.707,1.839
33,3.867,1.821
34,3.711,1.843
35,3.724,1.881
36,3.731,1.829
37,3.812,1.910
38,3.764,1.822
39,3.730,1.811
40,3.666,1.807
41,3.878,1.894
42,3.788,1.892
43,3.888,1.883
44,4.036,1.948
45,3.942,1.959
46,3.974,1.960
47,3.851,1.959
48,3.915,1.914
49,3.823,1.909
50,3.890,1.917
51,3.792,1.869
52,3.810,1.860
53,3.839,1.894
54,3.891,1.882
55,3.866,1.840
56,3.856,1.945
57,3.992,2.037
58,4.197,2.011
59,4.343,2.125
60,4.311,2.155
61,4.182,2.005
62,4.190,1.954
63,4.135,2.097
64,4.054,2.127
65,3.980,1.975
66,3.913,2.036
67,3.785,1.884
68,3.937,1.910
69,3.903,1.856
70,3.969,1.919
71,3.831,1.928
72,3.845,1.859
73,3.813,1.996
74,3.790,1.957
75,3.674,1.902
76,3.703,1.856
77,3.672,1.916
78,3.758,1.953
79,3.823,2.021
80,3.771,1.972
81,3.800,2.058
82,3.899,2.028
83,4.010,2.039
84,3.971,2.032
85,4.065,1.935
86,4.064,2.078
87,4.048,2.088
88,4.131,2.065
89,4.249,2.020
90,4.093,2.033
91,4.082,2.031
92,4.240,2.036
93,4.322,1.992
94,4.219,2.103
95,4.425,2.034
96,4.409,1.978
97,4.345,2.114
98,4.644,2.206
99,4.746,2.291
100,4.614,2.331
101,4.541,2.392
102,4.685,2.313
103,4.702,2.319
104,4.727,2.250
105,4.732,2.260
106,4.983,2.333
107,5.104,2.389
108,5.188,2.446
109,5.147,2.431
110,4.904,2.371
111,4.916,2.367
112,4.966,2.275
113,5.084,2.355
114,5.196,2.312
115,5.025,2.301
116,4.889,2.237
117,5.114,2.237
118,5.146,2.173
119,5.400,2.155
120,5.409,2.256
121,5.388,2.292
122,5.471,2.181
123,5.657,2.234
124,5.584,2.236
125,5.631,2.293
126,5.605,2.263
127,5.733,2.273
128,5.539,2.186
129,5.889,2.344
130,5.987,2.408
131,6.247,2.501
132,6.318,2.461
133,6.117,2.394
134,6.253,2.507
135,6.162,2.465
136,6.474,2.493
137,6.360,2.504
138,6.405,2.405
139,6.376,2.522
140,6.253,2.435
141,6.357,2.432
142,6.427,2.452
143,6.467,2.400
144,6.630,2.547
145,6.699,2.545
146,6.756,2.425
147,6.739,2.349
148,6.586,2.449
149,6.564,2.442
150,6.409,2.469
151,6.399,2.422
152,6.418,2.360
153,6.610,2.404
154,6.605,2.399
155,6.621,2.383
156,6.614,2.434
157,6.489,2.391
158,6.533,2.511
159,6.470,2.499
160,6.436,2.537
161,6.703,2.473
162,6.673,2.485
163,6.782,2.551
164,6.765,2.436
165,6.737,2.442
166,6.578,2.429
167,6.495,2.508
168,6.455,2.482
169,6.302,2.423
170,6.522,2.402
171,6.475,2.374
172,6.479,2.498
173,6.616,2.524
174,6.477,2.603
175,6.573,2.512
176,6.321,2.444
177,6.218,2.442
178,6.268,2.474
179,6.262,2.549
180,6.264,2.462
181,6.292,2.519
182,6.320,2.325
183,6.309,2.495
184,6.298,2.539
185,6.273,2.454
186,6.286,2.449
187,6.396,2.508
188,6.351,2.488
189,6.264,2.546
190,6.422,2.609
191,6.311,2.630
192,6.474,2.515
193,6.453,2.447
194,6.294,2.496
195,6.336,2.542
196,6.670,2.574
197,6.471,2.581
198,6.427,2.539
199,6.339,2.604
200,6.550,2.795
201,6.700,2.724
202,6.531,2.616
203,6.670,2.555
204,6.586,2.673
205,6.692,2.672
206,6.562,2.700
207,6.491,2.713
208,6.609,2.674
209,6.626,2.644
210,6.570,2.626
211,6.543,2.616
212,6.434,2.710
213,6.465,2.699
214,6.399,2.693
215,6.483,2.768
216,6.428,2.737
217,6.394,2.851
218,6.351,2.838
219,6.580,2.805
220,6.559,2.801
221,6.541,2.706
222,6.688,2.747
223,6.630,2.596
224,6.560,2.798
225,6.679,2.709
226,6.757,2.785
227,6.843,2.864
228,6.718,2.881
229,6.909,2.875
230,6.736,2.887
231,6.729,2.876
232,6.839,2.977
233,6.738,2.781
234,6.775,2.906
235,6.839,3.130
236,6.933,2.921
237,6.851,2.827
238,6.687,2.828
239,6.683,2.945
240,6.650,2.909
241,6.824,3.023
242,6.980,2.874
243,6.891,2.758
244,7.004,2.901
245,6.895,2.903
246,6.857,2.832
247,6.753,2.933
248,6.759,2.927
249,6.585,2.910
250,6.726,2.837
251,6.766,3.028
252,6.733,3.013
253,6.768,3.145
254,6.616,3.163
255,6.819,3.129
256,6.901,3.124
257,6.824,3.247
258,6.847,3.335
259,6.738,3.071
260,6.784,3.042
261,6.892,3.166
262,6.909,3.085
263,6.990,3.134
264,7.132,2.988
265,6.947,2.952
266,7.079,2.851
267,6.928,2.879
268,6.980,2.870
269,7.135,2.810
270,6.984,2.762
271,7.155,2.648
272,7.090,2.738
273,7.167,2.720
274,7.014,2.704
275,7.256,2.745
276,7.147,2.905
277,7.221,2.931
278,7.391,3.080
279,7.149,2.895
280,7.327,2.956
281,7.201,2.949
282,7.047,2.891
283,7.131,2.882
284,7.044,2.847
285,6.994,2.803
286,6.881,2.838
287,6.932,2.838
288,6.866,2.664
289,6.791,2.685
290,6.756,2.751
291,6.689,2.727
292,6.752,2.837
293,6.801,2.950
294,6.573,2.900
295,6.611,2.926
296,6.696,2.887
297,6.717,2.869
298,6.597,2.878
299,6.507,2.917
300,6.384,2.932
301,6.503,2.816
302,6.224,2.750
303,6.206,2.733
304,6.225,2.694
305,6.252,2.854
306,6.378,3.009
307,6.398,2.848
308,6.501,2.853
309,6.265,2.903
310,6.457,2.909
311,6.617,2.922
312,6.588,2.891
313,6.733,2.883
314,6.640,2.910
315,6.556,2.860
316,6.647,2.867
317,6.654,2.897
318,6.557,2.856
319,6.737,2.874
320,6.766,2.747
321,6.834,2.820
322,6.833,2.799
323,6.821,2.835
324,6.793,2.789
325,6.802,2.874
326,6.891,2.843
327,7.078,2.909
328,6.994,2.903
329,6.891,2.947
330,6.756,2.985
331,6.711,2.929
332,6.635,2.951
333,6.651,3.016
334,6.760,2.980
335,6.682,2.958
336,6.874,2.945
337,6.722,3.015
338,6.906,2.854
339,6.856,2.867
340,6.971,2.774
341,6.982,2.771
342,7.068,2.712
343,7.301,2.776
344,7.424,2.804
345,7.343,2.742
346,7.312,2.673
347,7.291,2.665
348,7.086,2.571
349,7.339,2.613
350,7.186,2.670
351,7.150,2.681
352,7.333,2.719
353,7.170,2.667
354,7.095,2.677
355,7.152,2.689
356,7.146,2.723
357,7.033,2.775
358,7.015,2.669
359,7.032,2.650
360,6.899,2.639
361,6.910,2.737
362,6.804,2.704
363,6.796,2.687
364,6.923,2.573
365,6.844,2.751
366,6.704,2.771
367,6.700,2.807
368,6.575,2.761
369,6.521,2.834
370,6.671,2.879
371,6.789,2.801
372,6.887,2.881
373,6.940,2.906
374,6.810,2.693
375,7.043,2.875
376,6.938,3.111
377,6.831,3.046
378,6.770,2.842
379,6.721,2.721
380,6.681,2.855
381,6.693,2.778
382,6.775,2.893
383,6.851,2.821
384,6.763,2.928
385,6.653,2.867
386,6.698,2.860
387,6.710,2.877
388,6.508,2.747
389,6.592,2.794
390,6.486,2.783
391,6.669,2.775
392,6.668,2.826
393,6.682,2.676
394,6.607,2.676
395,6.744,2.891
396,6.654,2.996
397,6.745,2.821
398,6.798,2.913
399,6.695,2.882
400,6.621,2.754
401,6.723,2.762
402,6.731,2.817
403,6.595,2.828
404,6.697,2.751
405,6.786,2.809
406,6.670,2.760
407,6.675,2.710
408,6.662,2.758
409,6.842,2.745
410,6.735,2.750
411,6.815,2.654
412,6.996,2.593
413,6.751,2.739
414,6.906,2.786
415,6.830,2.819
416,6.863,2.548
417,6.850,2.508
418,6.976,2.664
419,6.849,2.625
420,7.076,2.620
421,6.968,2.562
422,7.037,2.595
423,6.794,2.602
424,6.794,2.662
425,6.795,2.653
426,6.703,2.584
427,6.719,2.662
428,6.793,2.684
429,6.801,2.737
430,6.911,2.718
431,6.970,2.727
432,6.810,2.741
433,6.808,2.771
434,6.734,2.813
435,6.850,2.770
436,6.611,2.694
437,6.636,2.780
438,6.784,2.909
439,6.770,2.784
440,6.934,2.805
441,6.909,2.765
442,6.817,2.793
443,6.623,2.632
444,6.627,2.655
445,6.867,2.734
446,7.030,2.714
447,7.202,2.580
448,7.354,2.529
449,7.258,2.590
450,7.178,2.521
451,7.121,2.745
452,6.899,2.656
453,6.805,2.678
454,6.782,2.723
455,6.777,2.596
456,6.661,2.597
457,6.602,2.643
458,6.897,2.612
459,6.746,2.592
460,6.686,2.636
461,6.688,2.576
462,6.867,2.539
463,6.661,2.421
464,6.684,2.470
465,6.799,2.561
466,6.657,2.512
467,6.720,2.496
468,7.023,2.559
469,7.158,2.579
470,6.990,2.529
471,7.067,2.499
472,7.025,2.593
473,6.831,2.499
474,6.879,2.479
475,6.980,2.591
476,6.807,2.570
477,6.941,2.488
478,7.096,2.527
479,7.047,2.505
480,7.228,2.635
481,7.267,2.571
482,7.225,2.596
483,7.358,2.564
484,7.143,2.595
485,7.076,2.587
486,7.093,2.505
487,7.107,2.625
488,7.213,2.585
489,7.181,2.641
490,7.058,2.630
491,6.915,2.653
492,7.054,2.726
493,7.089,2.739
494,7.056,2.756
495,7.223,2.785
496,7.335,2.743
497,7.387,2.815
498,7.168,2.700
499,7.274,2.767
500,7.079,2.778
501,7.303,2.671
502,7.195,2.801
503,6.988,2.841
504,6.891,2.801
505,6.992,2.803
506,7.059,2.927
507,7.030,2.966
508,6.927,2.804
509,7.043,2.875
510,7.170,2.913
511,7.036,2.862
512,7.056,2.926
513,7.145,2.930
514,7.319,2.968
515,7.156,2.844
516,7.147,2.810
517,7.150,2.851
518,7.197,2.766
519,7.356,2.848
520,7.341,2.737
521,7.212,2.768
522,7.224,2.756
523,7.137,2.695
524,7.215,2.641
525,7.115,2.662
526,7.206,2.662
527,7.186,2.765
528,7.248,2.742
529,7.322,2.809
530,7.138,2.759
531,7.219,2.788
532,7.197,2.831
533,7.064,2.755
534,6.854,2.703
535,6.762,2.722
536,6.879,2.793
537,6.750,2.702
538,6.686,2.716
539,6.734,2.890
