frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.102,0.856
2,1.302,0.927
3,1.535,0.997
4,1.782,1.042
5,1.940,1.081
6,2.174,1.059
7,2.176,1.090
8,2.309,1.110
9,2.505,1.236
10,2.680,1.237
11,2.734,1.286
12,2.670,1.353
13,2.791,1.413
14,2.770,1.462
15,2.782,1.497
16,2.817,1.487
17,2.891,1.496
18,3.131,1.670
19,3.233,1.686
20,3.326,1.795
21,3.144,1.775
22,3.144,1.793
23,3.288,1.812
24,3.234,1.863
25,3.185,1.838
26,3.273,1.824
27,3.221,1.730
28,3.333,1.645
29,3.487,1.686
30,3.559,1.772
31,3.560,1.722
32,3.734,1.690
33,3.974,1.823
34,3.786,1.844
35,3.639,1.781
36,3.570,1.750
37,3.600,1.744
38,3.720,1.783
39,3.716,1.730
40,3.781,1.821
41,3.728,1.717
42,3.690,1.595
43,3.805,1.695
44,3.648,1.636
45,3.722,1.660
46,3.816,1.750
47,3.723,1.691
48,3.654,1.756
49,3.760,1.854
50,3.732,1.769
51,3.822,1.722
52,3.731,1.699
53,3.759,1.678
54,3.852,1.588
55,4.050,1.625
56,4.084,1.663
57,4.106,1.698
58,4.011,1.646
59,4.137,1.704
60,4.244,1.679
61,4.165,1.702
62,4.071,1.727
63,4.195,1.747
64,4.067,1.755
65,4.237,1.852
66,4.091,1.745
67,4.084,1.785
68,4.119,1.787
69,4.046,1.897
70,4.018,1.814
71,4.110,1.853
72,4.088,1.769
73,4.199,1.828
74,4.083,1.779
75,4.145,1.721
76,3.931,1.749
77,4.018,1.821
78,4.146,1.795
79,4.196,1.790
80,4.172,1.855
81,4.064,1.853
82,4.166,1.933
83,4.193,1.805
84,4.230,1.849
85,4.196,1.835
86,4.138,1.884
87,4.082,1.824
88,4.165,1.970
89,4.167,1.939
90,4.120,2.026
91,4.234,1.970
92,4.212,1.844
93,4.248,1.901
94,4.403,1.971
95,4.525,1.894
96,4.587,1.941
97,4.593,2.024
98,4.415,1.986
99,4.606,2.002
100,4.469,2.047
101,4.445,2.107
102,4.414,2.103
103,4.486,2.051
104,4.237,2.028
105,4.275,2.073
106,4.265,2.021
107,4.299,2.097
108,4.380,1.957
109,4.348,2.015
110,4.316,2.101
111,4.262,1.945
112,4.239,1.875
113,4.436,1.939
114,4.363,1.964
115,4.343,1.930
116,4.370,1.953
117,4.370,1.901
118,4.346,1.918
119,4.246,1.845
120,4.150,1.926
121,4.191,2.016
122,4.255,1.983
123,4.252,2.001
124,4.305,1.963
125,4.231,2.016
126,4.299,1.987
127,4.449,2.069
128,4.405,2.037
129,4.330,1.962
130,4.435,2.024
131,4.461,1.943
132,4.501,1.935
133,4.475,2.078
134,4.464,1.996
135,4.371,2.000
136,4.442,2.001
137,4.542,2.021
138,4.623,2.162
139,4.549,2.071
140,4.740,2.081
141,4.624,2.072
142,4.561,2.011
143,4.556,2.037
144,4.547,2.055
145,4.624,1.923
146,4.648,2.003
147,4.787,2.091
148,4.786,2.114
149,4.664,2.124
150,4.544,2.061
151,4.572,2.100
152,4.490,2.024
153,4.620,1.925
154,4.693,2.061
155,4.689,1.981
156,4.740,1.994
157,4.660,2.036
158,4.786,2.034
159,5.055,2.013
160,4.839,1.934
161,4.971,1.982
162,4.748,2.039
163,4.853,2.029
164,4.915,2.079
165,4.869,2.029
166,4.780,2.033
167,4.645,1.968
168,4.794,2.002
169,4.744,1.969
170,4.787,2.044
171,4.891,2.077
172,4.893,2.021
173,4.729,2.019
174,4.636,2.000
175,4.744,2.006
176,4.758,2.051
177,4.712,2.069
178,4.864,2.103
179,4.868,2.037
180,4.751,2.074
181,4.898,2.097
182,4.894,2.062
183,5.012,2.100
184,5.050,2.101
185,5.022,2.179
186,5.108,2.146
187,5.007,2.115
188,5.104,2.085
189,5.075,2.203
190,5.101,2.166
191,5.221,2.119
192,5.147,2.192
193,5.152,2.110
194,4.953,2.166
195,4.917,2.018
196,4.992,2.235
197,4.861,2.199
198,4.816,2.156
199,4.872,2.158
200,4.870,2.204
201,4.916,2.221
202,4.813,2.166
203,4.785,2.241
204,4.804,2.204
205,4.803,2.253
206,4.789,2.216
207,4.781,2.177
208,4.782,2.159
209,4.929,2.119
210,4.978,2.086
211,5.041,2.072
212,5.039,2.118
213,4.988,2.069
214,4.903,2.113
215,4.986,2.156
216,5.087,2.200
217,5.009,2.084
218,5.207,2.064
219,5.176,2.100
220,5.048,2.067
221,4.809,2.047
222,4.872,2.035
223,4.877,2.053
224,4.950,2.145
225,5.012,2.035
226,4.984,2.009
227,4.777,2.045
228,4.823,2.110
229,4.777,2.026
230,4.746,2.123
231,4.711,2.131
232,4.758,2.112
233,4.952,2.145
234,4.912,2.156
235,5.003,2.115
236,4.974,2.088
237,5.059,2.056
238,4.984,2.140
239,4.813,2.152
240,4.818,2.077
241,4.785,2.022
242,4.743,2.002
243,4.633,2.009
244,4.771,2.038
245,4.666,1.994
246,4.732,2.078
247,4.692,2.013
248,4.633,1.966
249,4.719,2.023
250,4.792,2.015
251,4.846,2.054
252,4.765,2.018
253,4.596,1.976
254,4.717,1.947
255,4.906,2.006
256,4.949,1.914
257,4.711,1.959
258,4.774,2.031
259,4.881,2.027
260,5.048,2.057
261,5.047,2.036
262,4.967,1.908
263,5.058,1.921
264,4.999,1.912
265,4.945,1.938
266,4.923,2.030
267,4.931,2.109
268,4.972,2.036
269,4.956,2.126
270,4.791,2.025
271,4.853,2.105
272,4.780,2.045
273,4.804,2.104
274,4.924,2.166
275,4.992,2.288
276,5.079,2.227
277,4.911,2.073
278,4.968,2.050
279,5.068,2.112
280,5.069,2.119
281,5.018,2.070
282,5.064,2.263
283,5.318,2.318
284,5.223,2.198
285,5.172,2.223
286,5.460,2.140
287,5.476,2.170
288,5.584,2.193
289,5.454,2.230
290,5.651,2.246
291,5.512,2.158
292,5.519,2.085
293,5.495,2.105
294,5.511,2.133
295,5.507,2.218
296,5.675,2.223
297,5.581,2.250
298,5.503,2.246
299,5.606,2.264
300,5.414,2.013
301,5.510,2.235
302,5.511,2.019
303,5.488,2.126
304,5.554,2.070
305,5.477,2.165
306,5.512,2.042
307,5.312,2.119
308,5.244,2.044
309,5.228,2.022
310,5.326,2.021
311,5.383,1.980
312,5.494,1.965
313,5.514,2.004
314,5.376,2.019
315,5.219,1.933
316,5.193,1.947
317,5.123,1.922
318,5.148,1.915
319,5.094,1.925
320,5.077,1.882
321,5.171,2.019
322,5.200,2.043
323,5.217,2.046
324,5.359,2.110
325,5.416,2.139
326,5.658,2.169
327,5.584,2.145
328,5.570,2.162
329,5.549,2.136
330,5.336,2.105
331,5.295,2.113
332,5.250,2.183
333,5.209,2.094
334,5.381,2.052
335,5.642,2.263
336,5.711,2.209
337,5.640,2.067
338,5.515,2.204
339,5.699,2.255
340,5.697,2.192
341,5.567,2.269
342,5.614,2.208
343,5.633,2.159
344,5.631,2.191
345,5.442,2.146
346,5.503,2.178
347,5.348,2.134
348,5.388,2.114
349,5.362,2.228
350,5.354,2.194
351,5.300,2.194
352,5.355,2.187
353,5.289,2.219
354,5.250,2.179
355,5.316,2.219
356,5.202,2.124
357,5.114,2.104
358,5.235,2.168
359,5.206,2.191
360,5.329,2.169
361,5.335,2.197
362,5.287,2.314
363,5.386,2.326
364,5.292,2.276
365,5.212,2.207
366,5.325,2.145
367,5.400,2.121
368,5.395,2.132
369,5.212,2.121
370,5.144,2.213
371,5.388,2.153
372,5.323,2.196
373,5.371,2.095
374,5.469,2.134
375,5.526,2.098
376,5.397,2.180
377,5.441,2.161
378,5.332,2.164
379,5.368,2.110
380,5.268,2.187
381,5.190,2.133
382,5.051,2.129
383,5.012,2.108
384,5.075,2.103
385,4.964,2.098
386,5.046,2.059
387,4.964,2.159
388,4.972,2.108
389,4.921,2.040
390,4.852,2.052
391,4.770,2.103
392,4.892,2.193
393,4.920,2.185
394,4.895,2.194
395,4.875,2.119
396,4.974,2.144
397,5.142,2.177
398,5.075,2.170
399,5.126,2.049
400,5.251,2.079
401,5.240,2.104
402,5.302,2.211
403,5.359,2.169
404,5.226,2.098
405,5.257,2.112
406,5.232,2.160
407,5.248,2.166
408,5.320,2.163
409,5.323,2.235
410,5.255,2.225
411,5.234,2.206
412,5.205,2.134
413,5.077,2.187
414,5.212,2.290
415,5.217,2.177
416,5.405,2.252
417,5.341,2.251
418,5.322,2.294
419,5.503,2.292
420,5.536,2.223
421,5.486,2.140
422,5.380,2.233
423,5.251,2.094
424,5.235,2.160
425,5.302,2.229
426,5.223,2.098
427,5.160,2.095
428,5.249,2.161
429,5.242,2.112
430,5.204,2.092
431,5.215,2.186
432,5.301,2.088
433,5.230,2.189
434,5.175,2.148
435,5.307,2.257
436,5.334,2.215
437,5.382,2.159
438,5.304,2.110
439,5.262,2.048
440,5.413,2.258
441,5.361,2.170
442,5.635,2.237
443,5.637,2.311
444,5.513,2.217
445,5.549,2.231
446,5.505,2.169
447,5.653,2.238
448,5.719,2.137
449,5.706,2.188
450,5.655,2.162
451,5.526,2.114
452,5.540,2.124
453,5.444,2.146
454,5.508,2.204
455,5.585,2.160
456,5.619,2.156
457,5.788,2.261
458,5.863,2.155
459,5.933,2.118
460,5.867,2.141
461,5.845,2.199
462,5.763,2.135
463,5.771,2.041
464,5.795,2.043
465,5.893,1.967
466,6.157,2.064
467,6.111,2.082
468,6.047,2.013
469,5.947,1.998
470,5.946,2.116
471,5.917,2.103
472,5.821,2.026
473,5.687,2.093
474,5.917,2.086
475,5.874,2.184
476,5.906,2.072
477,6.069,2.003
478,6.088,2.022
479,6.059,2.064
480,6.030,2.133
481,5.828,2.217
482,5.759,2.141
483,5.718,2.164
484,5.828,2.147
485,5.890,2.120
486,5.992,2.218
487,5.995,2.236
488,5.868,2.248
489,5.878,2.103
490,5.850,2.047
491,5.954,2.168
492,5.963,2.097
493,5.887,2.133
494,5.886,2.216
495,6.075,2.128
496,6.106,2.287
497,5.884,2.147
498,6.043,2.089
499,6.089,2.132
500,6.123,2.163
501,6.086,2.131
502,5.959,2.168
503,5.909,2.168
504,5.882,2.171
505,5.956,2.308
506,6.057,2.329
507,5.886,2.268
508,6.005,2.170
509,6.076,2.136
510,6.052,2.200
511,5.926,2.214
512,5.857,2.269
513,5.835,2.259
514,5.808,2.173
515,5.906,2.221
516,5.666,2.191
517,5.739,2.264
518,5.743,2.312
519,5.575,2.204
520,5.541,2.243
521,5.419,2.226
522,5.439,2.231
523,5.352,2.203
524,5.445,2.170
525,5.500,2.213
526,5.436,2.130
527,5.529,2.168
528,5.597,2.183
529,5.685,2.239
530,5.609,2.158
531,5.500,2.136
532,5.491,2.127
533,5.572,2.187
534,5.447,2.139
535,5.591,2.217
536,5.702,2.225
537,5.791,2.260
538,5.853,2.225
539,5.902,2.250
540,5.891,2.367
541,5.779,2.313
542,5.688,2.251
543,5.662,2.186
544,5.571,2.228
545,5.445,2.171
546,5.475,2.148
547,5.492,2.188
548,5.535,2.166
549,5.661,2.179
550,5.660,2.203
551,5.548,2.111
552,5.687,2.157
553,5.690,2.145
554,5.789,2.106
555,5.822,2.038
556,5.864,2.151
557,5.679,2.068
558,5.752,2.085
559,5.773,2.056
560,5.815,2.104
561,5.760,2.049
562,5.757,2.015
563,5.602,2.000
564,5.610,2.027
565,5.705,2.012
566,5.873,2.059
567,6.013,1.998
568,6.031,2.003
569,5.968,1.988
570,5.986,2.024
571,5.972,2.029
572,6.042,2.058
573,5.962,2.007
574,5.880,2.128
575,5.814,2.055
576,5.837,2.004
577,6.056,2.060
578,5.995,2.049
579,5.962,2.071
580,6.038,2.050
581,6.071,2.039
582,6.053,2.113
583,6.022,2.080
584,6.101,2.161
585,6.116,1.989
586,5.963,2.103
587,5.838,2.081
588,5.782,2.055
589,5.723,2.028
590,5.737,2.087
591,5.620,2.127
592,5.800,2.181
593,5.788,2.183
594,5.825,2.103
595,5.947,2.209
596,5.877,2.139
597,5.731,2.068
598,5.911,2.225
599,5.699,2.237
600,5.734,2.293
601,5.607,2.327
602,5.407,2.087
603,5.424,2.206
604,5.327,2.108
605,5.392,2.171
606,5.338,2.145
607,5.533,2.137
608,5.627,2.154
609,5.525,2.159
610,5.460,2.207
611,5.447,2.122
612,5.472,2.091
613,5.475,2.205
614,5.361,2.222
615,5.473,2.208
616,5.357,2.259
617,5.517,2.221
618,5.460,2.144
619,5.390,2.084
620,5.344,2.186
621,5.286,2.048
622,5.199,2.135
623,5.209,2.095
624,5.279,2.071
625,5.161,2.148
626,5.256,2.116
627,5.364,2.151
628,5.429,2.209
629,5.404,2.153
630,5.431,2.057
631,5.502,2.113
632,5.298,2.128
633,5.522,2.195
634,5.544,2.108
635,5.500,2.202
636,5.456,2.113
637,5.460,2.176
638,5.511,2.164
639,5.578,2.205
640,5.653,2.202
641,5.721,2.221
642,5.749,2.244
643,5.708,2.206
644,5.796,2.224
645,5.868,2.343
646,5.707,2.162
647,5.636,2.128
648,5.639,2.215
649,5.759,2.154
650,5.673,2.083
651,5.880,2.145
652,6.029,2.281
653,5.964,2.189
654,5.962,2.209
655,5.973,2.238
656,5.786,2.125
657,5.808,2.133
658,5.694,2.047
659,5.723,2.109
660,5.845,2.023
661,5.809,2.016
662,5.903,2.086
663,5.801,2.176
664,5.822,2.141
665,5.784,2.089
666,5.747,2.062
667,5.780,2.142
668,5.643,2.113
669,5.617,2.162
670,5.719,2.148
671,5.730,2.147
672,5.594,2.075
673,5.541,2.098
674,5.474,2.062
675,5.592,2.116
676,5.550,2.140
677,5.392,2.113
678,5.416,2.169
679,5.416,2.154
680,5.430,2.193
681,5.334,2.223
682,5.208,2.198
683,5.243,2.225
684,5.283,2.175
685,4.983,2.210
686,5.035,2.172
687,5.059,2.058
688,5.094,2.103
689,4.882,2.058
690,4.880,2.068
691,5.062,2.042
692,5.211,1.992
693,5.155,1.947
694,5.232,2.074
695,5.180,2.092
696,5.242,2.023
697,5.157,1.929
698,5.277,2.004
699,5.392,2.058
700,5.387,2.034
701,5.419,2.001
702,5.624,2.029
703,5.493,1.968
704,5.427,2.021
705,5.304,1.953
706,5.475,2.151
707,5.320,2.059
708,5.363,2.110
709,5.315,2.183
710,5.371,2.230
711,5.351,2.216
712,5.451,2.177
713,5.405,2.223
714,5.363,2.144
715,5.504,2.344
716,5.314,2.161
717,5.214,2.199
718,5.128,2.187
719,5.227,2.132
720,5.200,2.173
721,5.414,2.258
722,5.338,2.235
723,5.211,2.182
724,5.327,2.172
725,5.424,2.171
726,5.319,2.065
727,5.319,2.066
728,5.328,2.080
729,5.359,2.181
730,5.412,2.212
731,5.346,2.186
732,5.500,2.216
733,5.409,2.208
734,5.487,2.239
735,5.639,2.194
736,5.607,2.224
737,5.507,2.222
738,5.589,2.228
739,5.646,2.272
740,5.759,2.288
741,5.828,2.377
742,5.789,2.305
743,5.802,2.162
744,5.687,2.261
745,5.904,2.242
746,6.048,2.359
747,5.991,2.254
748,6.052,2.286
749,6.149,2.278
750,5.943,2.196
751,6.037,2.209
752,5.992,2.205
753,5.836,2.190
754,5.907,2.231
755,6.061,2.226
756,5.941,2.202
757,5.947,2.155
758,5.982,2.123
759,6.186,2.096
760,6.121,2.101
761,5.968,2.148
762,5.798,2.004
763,5.794,2.010
764,5.762,2.071
765,5.950,2.131
766,5.807,2.056
767,5.782,2.132
768,5.796,2.123
769,5.763,2.136
770,5.982,2.099
771,5.967,2.080
772,6.128,2.090
773,6.129,2.096
774,6.179,2.104
775,6.384,2.109
776,6.403,2.125
777,6.201,2.161
778,6.211,2.176
779,6.370,2.226
780,6.498,2.252
781,6.548,2.134
782,6.586,2.160
783,6.608,2.185
784,6.548,2.169
785,6.351,2.143
786,6.208,2.111
787,6.108,2.094
788,6.186,2.141
789,6.119,2.186
790,6.063,2.164
791,6.253,2.197
792,6.290,2.127
793,6.343,2.190
794,6.250,2.177
795,6.358,2.189
796,6.460,2.168
797,6.505,2.199
798,6.339,2.229
799,6.153,2.186
800,6.221,2.181
801,6.376,2.204
802,6.452,2.221
803,6.492,2.200
804,6.535,2.217
805,6.535,2.220
806,6.572,2.291
807,6.478,2.262
808,6.416,2.252
809,6.266,2.230
810,6.245,2.221
811,6.295,2.219
812,6.336,2.259
813,6.311,2.234
814,6.430,2.205
815,6.384,2.231
816,6.124,2.134
817,6.216,2.182
818,6.316,2.274
819,6.180,2.227
820,6.297,2.336
821,6.274,2.243
822,6.381,2.223
823,6.163,2.180
824,6.144,2.157
825,6.187,2.201
826,6.097,2.205
827,6.342,2.195
828,6.269,2.280
829,6.073,2.205
830,6.108,2.243
831,5.993,2.122
832,6.087,2.181
833,6.155,2.135
834,6.143,2.161
835,5.988,2.109
836,5.941,2.117
837,5.940,1.956
838,6.008,1.961
839,6.022,2.032
840,6.040,2.109
841,6.118,2.118
842,6.130,1.976
843,6.049,2.103
844,5.956,2.156
845,5.988,2.041
846,6.123,2.173
847,6.237,2.086
848,6.167,2.167
849,6.058,2.133
850,6.147,2.224
851,6.229,2.235
852,6.224,2.225
853,6.114,2.233
854,6.341,2.281
855,6.422,2.257
856,6.461,2.193
857,6.177,2.228
858,6.114,2.238
859,6.036,2.150
860,6.123,2.232
861,6.284,2.203
862,6.308,2.235
863,6.327,2.221
864,6.355,2.287
865,6.323,2.301
866,6.308,2.350
867,6.235,2.294
868,6.323,2.413
869,6.324,2.413
870,6.152,2.243
871,6.108,2.259
872,6.253,2.179
873,6.131,2.128
874,6.141,2.208
875,6.090,2.296
876,5.969,2.168
877,6.039,2.225
878,5.967,2.231
879,6.070,2.172
880,6.119,2.243
881,5.817,2.176
882,5.834,2.220
883,5.828,2.204
884,5.907,2.247
885,6.105,2.290
886,6.197,2.306
887,6.157,2.408
888,6.004,2.315
889,5.991,2.271
890,6.127,2.269
891,6.134,2.193
892,6.283,2.312
893,6.104,2.229
894,6.083,2.207
895,6.107,2.188
896,6.217,2.216
897,6.183,2.171
898,6.304,2.246
899,6.476,2.296
900,6.385,2.264
901,6.355,2.225
902,6.363,2.301
903,6.261,2.211
904,6.278,2.241
905,6.158,2.139
906,6.094,2.246
907,6.206,2.278
908,6.176,2.253
909,6.162,2.214
910,6.151,2.247
911,6.281,2.311
912,6.108,2.179
913,6.234,2.282
914,6.360,2.248
915,6.328,2.144
916,6.421,2.270
917,6.315,2.257
918,6.342,2.322
919,6.337,2.217
920,6.485,2.318
921,6.312,2.302
922,6.529,2.330
923,6.549,2.236
924,6.772,2.318
925,6.709,2.286
926,6.612,2.372
927,6.631,2.320
928,6.822,2.391
929,6.671,2.271
930,6.592,2.240
931,6.608,2.224
932,6.510,2.271
933,6.324,2.140
934,6.356,2.162
935,6.303,2.188
936,6.374,2.225
937,6.433,2.194
938,6.410,2.150
939,6.359,2.217
940,6.499,2.345
941,6.351,2.326
942,6.481,2.453
943,6.605,2.388
944,6.500,2.199
945,6.670,2.314
946,6.521,2.382
947,6.480,2.287
948,6.439,2.393
949,6.400,2.359
950,6.344,2.177
951,6.340,2.210
952,6.248,2.232
953,6.300,2.344
954,6.303,2.293
955,6.403,2.296
956,6.258,2.258
957,6.449,2.275
958,6.365,2.310
959,6.473,2.376
960,6.456,2.281
961,6.504,2.258
962,6.489,2.251
963,6.500,2.295
964,6.433,2.318
965,6.573,2.404
966,6.361,2.285
967,6.508,2.268
968,6.550,2.304
969,6.477,2.126
970,6.585,2.254
971,6.522,2.225
972,6.638,2.343
973,6.564,2.320
974,6.583,2.327
975,6.744,2.303
976,6.636,2.319
977,6.667,2.436
978,6.687,2.399
979,6.592,2.257
980,6.591,2.313
981,6.638,2.214
982,6.431,2.295
983,6.451,2.380
984,6.674,2.279
985,6.587,2.225
986,6.662,2.271
987,6.759,2.266
988,6.687,2.306
989,6.814,2.134
990,6.789,2.309
991,6.708,2.273
992,6.869,2.243
993,6.857,2.144
994,6.848,2.214
995,6.784,2.342
996,6.784,2.250
997,6.963,2.259
998,6.972,2.388
999,6.899,2.291
1000,6.666,2.186
1001,6.691,2.237
1002,6.746,2.211
1003,6.906,2.215
1004,6.867,2.211
1005,7.016,2.330
1006,6.955,2.293
1007,6.799,2.304
1008,6.818,2.253
1009,6.735,2.260
1010,6.821,2.210
1011,6.857,2.167
1012,6.631,2.153
1013,6.734,2.227
