frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.210,0.819
2,1.396,0.900
3,1.687,0.972
4,1.957,0.980
5,2.031,1.096
6,2.144,1.121
7,2.399,1.306
8,2.420,1.291
9,2.575,1.307
10,2.752,1.384
11,2.523,1.198
12,2.485,1.242
13,2.607,1.408
14,2.626,1.335
15,2.893,1.282
16,2.837,1.333
17,2.866,1.352
18,2.928,1.373
19,3.047,1.472
20,3.067,1.431
21,3.171,1.469
22,3.095,1.471
23,3.183,1.425
24,3.258,1.471
25,3.252,1.526
26,3.362,1.408
27,3.383,1.465
28,3.628,1.486
29,3.677,1.400
30,3.713,1.515
31,3.883,1.630
32,3.725,1.529
33,3.870,1.607
34,3.821,1.619
35,3.793,1.670
36,3.682,1.653
37,3.680,1.670
38,3.621,1.585
39,3.665,1.578
40,3.605,1.616
41,3.578,1.649
42,3.538,1.617
43,3.613,1.590
44,3.732,1.622
45,3.677,1.559
46,3.607,1.630
47,3.499,1.629
48,3.435,1.638
49,3.503,1.641
50,3.613,1.593
51,3.474,1.719
52,3.594,1.691
53,3.668,1.615
54,3.569,1.614
55,3.630,1.707
56,3.741,1.779
57,3.675,1.714
58,3.602,1.650
59,3.579,1.770
60,3.620,1.780
61,3.537,1.705
62,3.786,1.758
63,3.784,1.682
64,3.864,1.732
65,3.814,1.731
66,3.766,1.796
67,4.028,1.725
68,3.792,1.703
69,3.724,1.715
70,3.818,1.851
71,3.661,1.817
72,3.750,1.775
73,3.866,1.695
74,4.062,1.783
75,4.065,1.753
76,4.088,1.855
77,3.936,1.708
78,4.140,1.742
79,4.104,1.798
80,3.915,1.789
81,3.866,1.753
82,3.868,1.757
83,3.868,1.951
84,3.944,1.877
85,4.006,1.839
86,4.025,1.899
87,4.094,1.994
88,3.996,2.061
89,3.928,1.916
90,3.991,1.951
91,4.065,2.053
92,4.118,2.036
93,4.105,2.012
94,4.000,2.027
95,3.897,1.954
96,3.950,1.998
97,3.950,1.903
98,4.012,1.958
99,3.912,1.952
100,4.060,1.993
101,4.042,1.822
102,4.108,1.930
103,4.070,1.900
104,4.080,1.918
105,4.141,1.886
106,4.124,1.929
107,4.188,1.943
108,4.093,1.850
109,4.367,1.872
110,4.345,1.869
111,4.303,1.884
112,4.480,1.869
113,4.415,1.901
114,4.287,1.962
115,4.425,1.935
116,4.352,1.935
117,4.364,1.903
118,4.331,1.955
119,4.385,2.010
120,4.527,1.968
121,4.389,1.963
122,4.226,1.833
123,4.187,1.830
124,4.322,1.855
125,4.323,1.880
126,4.242,1.868
127,4.361,1.918
128,4.361,1.939
129,4.245,1.872
130,4.291,1.896
131,4.313,1.939
132,4.412,1.971
133,4.421,1.935
134,4.346,1.880
135,4.426,1.905
136,4.342,1.905
137,4.544,1.852
138,4.367,1.906
139,4.476,1.890
140,4.648,1.843
141,4.626,1.932
142,4.606,1.916
143,4.812,1.945
144,4.883,1.890
145,4.892,1.845
146,4.982,1.876
147,4.839,1.738
148,4.677,1.784
149,4.481,1.865
150,4.556,1.893
151,4.577,1.829
152,4.565,1.933
153,4.636,1.914
154,4.663,1.970
155,4.634,1.960
156,4.788,2.004
157,4.679,1.918
158,4.677,1.811
159,4.564,1.896
160,4.328,1.798
161,4.509,1.908
162,4.349,1.947
163,4.387,1.892
164,4.221,1.795
165,4.441,1.856
166,4.391,1.843
167,4.305,1.830
168,4.338,1.950
169,4.219,1.948
170,4.427,1.903
171,4.395,1.973
172,4.564,2.069
173,4.413,2.006
174,4.371,1.988
175,4.444,2.054
176,4.161,1.897
177,4.272,1.942
178,4.228,2.027
179,4.268,2.085
180,4.436,2.184
181,4.445,2.015
182,4.530,2.087
183,4.368,2.062
184,4.424,2.211
185,4.276,2.052
186,4.309,2.113
187,4.214,2.080
188,4.212,2.143
189,4.175,2.099
190,4.231,1.991
191,4.182,1.924
192,4.308,1.937
193,4.303,2.040
194,4.369,1.961
195,4.279,1.985
196,4.501,2.141
197,4.460,2.203
198,4.398,2.155
199,4.434,2.122
200,4.446,2.170
201,4.574,2.199
202,4.428,2.235
203,4.476,2.140
204,4.558,2.200
205,4.455,2.172
206,4.414,2.099
207,4.368,2.132
208,4.301,2.080
209,4.324,2.115
210,4.426,2.147
211,4.478,2.144
212,4.435,2.126
213,4.527,2.086
214,4.521,2.030
215,4.477,1.989
216,4.405,1.924
217,4.312,1.908
218,4.491,1.989
219,4.518,2.074
220,4.567,2.088
221,4.507,2.197
222,4.696,2.245
223,4.684,2.184
224,4.587,2.050
225,4.708,2.212
226,4.705,2.307
227,4.530,2.235
228,4.688,2.234
229,4.472,2.240
230,4.579,2.291
231,4.547,2.201
232,4.458,2.109
233,4.446,2.156
234,4.484,2.124
235,4.530,2.173
236,4.481,2.150
237,4.506,2.153
238,4.549,2.189
239,4.526,2.114
240,4.533,2.138
241,4.526,2.062
242,4.504,2.014
243,4.507,1.995
244,4.499,2.044
245,4.574,2.093
246,4.516,1.992
247,4.631,1.969
248,4.525,2.077
249,4.536,2.049
250,4.726,2.077
251,4.655,1.997
252,4.724,2.107
253,4.694,2.099
254,4.725,2.113
255,4.840,2.262
256,4.824,2.219
257,4.718,2.078
258,4.759,2.007
259,4.783,2.096
260,5.016,2.283
261,4.912,2.199
262,4.951,2.327
263,4.814,2.204
264,4.875,2.270
265,4.955,2.189
266,4.969,2.226
267,4.902,2.241
268,4.839,2.203
269,4.689,2.144
270,4.842,2.183
271,4.813,2.309
272,4.781,2.220
273,4.705,2.164
274,4.750,2.253
