frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.098,0.866
2,1.642,1.184
3,1.739,1.194
4,1.847,1.351
5,1.986,1.376
6,1.969,1.319
7,2.031,1.261
8,2.355,1.455
9,2.400,1.421
10,2.499,1.525
11,2.416,1.476
12,2.488,1.560
13,2.700,1.662
14,2.713,1.749
15,2.982,1.746
16,2.752,1.592
17,2.788,1.654
18,2.771,1.646
19,2.766,1.598
20,2.973,1.700
21,2.874,1.752
22,3.048,1.918
23,2.997,1.877
24,2.912,1.823
25,2.853,1.745
26,2.943,1.635
27,2.958,1.653
28,3.073,1.628
29,3.093,1.707
30,3.113,1.745
31,3.155,1.774
32,3.263,1.784
33,3.493,1.760
34,3.454,1.908
35,3.357,1.778
36,3.711,1.983
37,3.629,1.848
38,3.849,2.001
39,3.880,1.891
40,4.111,2.018
41,4.123,2.105
42,3.999,1.946
43,3.997,1.978
44,3.996,2.037
45,3.994,2.002
46,3.852,1.796
47,3.694,1.831
48,3.771,1.803
49,3.712,1.891
50,3.820,2.013
51,3.611,1.924
52,3.489,1.835
53,3.661,1.927
54,3.731,1.950
55,3.884,2.048
56,3.909,2.099
57,4.151,2.136
58,4.209,2.164
59,4.126,2.116
60,4.126,2.089
61,4.039,1.947
62,4.239,1.997
63,4.449,2.097
64,4.460,2.052
65,4.307,1.987
66,4.421,2.181
67,4.444,2.078
68,4.435,2.117
69,4.560,2.177
70,4.423,2.119
71,4.497,2.189
72,4.666,2.241
73,4.710,2.238
74,4.727,2.325
75,4.568,2.215
76,4.748,2.182
77,4.801,2.218
78,4.671,2.205
79,4.771,2.181
80,4.942,2.368
81,4.977,2.426
82,4.782,2.230
83,4.742,2.233
84,4.788,2.199
85,4.765,2.253
86,4.711,2.068
87,4.567,2.186
88,4.476,2.103
89,4.640,2.224
90,4.609,2.056
91,4.415,2.143
92,4.416,2.016
93,4.457,2.064
94,4.404,2.086
95,4.352,2.093
96,4.511,2.162
97,4.420,2.166
98,4.543,2.226
99,4.438,2.073
100,4.440,2.144
101,4.341,2.097
102,4.300,2.179
103,4.356,2.193
104,4.334,2.113
105,4.350,2.114
106,4.198,2.049
107,4.122,1.958
108,4.191,1.978
109,3.987,1.878
110,4.081,1.935
111,4.182,1.945
112,4.300,2.113
113,4.177,2.013
114,4.450,2.218
115,4.368,2.155
116,4.432,2.106
117,4.489,2.143
118,4.390,2.157
119,4.403,2.130
120,4.589,2.223
121,4.515,2.310
122,4.621,2.332
123,5.983,2.238
124,4.652,2.202
125,4.680,2.107
126,4.740,2.160
127,4.681,2.282
128,4.588,2.185
129,4.939,2.251
130,4.812,2.239
131,4.929,2.163
132,4.933,2.169
133,4.800,2.042
134,4.619,2.071
135,4.699,2.052
136,4.617,1.996
137,6.010,2.055
138,6.092,2.047
139,5.967,2.103
140,6.109,2.078
141,4.598,2.119
142,4.570,2.178
143,6.019,2.108
144,5.956,2.134
145,6.018,2.191
146,5.970,2.129
147,6.094,2.189
148,6.192,2.116
149,6.223,2.201
150,6.325,2.270
151,6.337,2.173
152,4.892,2.284
153,4.907,2.254
154,4.920,2.149
155,4.858,2.273
156,6.314,2.094
157,6.258,2.056
158,6.209,2.071
159,6.341,2.134
160,6.403,2.146
161,6.324,2.108
162,6.262,2.155
163,6.435,2.248
164,6.291,2.139
165,6.566,2.305
166,6.570,2.432
167,6.475,2.355
168,6.463,2.383
169,6.649,2.408
170,6.589,2.349
171,6.657,2.369
172,6.653,2.368
173,5.251,2.405
174,4.924,2.325
175,4.868,2.468
176,6.357,2.333
177,6.316,2.242
178,6.295,2.244
179,6.214,2.240
180,6.291,2.313
181,6.285,2.392
182,6.134,2.277
183,6.077,2.379
184,6.251,2.360
185,6.295,2.315
186,6.433,2.314
187,6.281,2.387
188,6.142,2.285
189,6.109,2.422
190,6.256,2.388
191,6.189,2.270
192,4.712,2.300
193,4.790,2.285
194,6.302,2.349
195,6.271,2.245
196,6.396,2.420
197,6.356,2.274
198,4.875,2.342
199,5.023,2.425
200,6.375,2.505
201,6.416,2.424
202,6.316,2.378
203,6.328,2.418
204,6.245,2.373
205,6.384,2.378
206,7.023,2.207
207,6.960,2.294
208,7.067,2.303
209,6.896,2.282
210,6.959,2.390
211,6.716,2.309
212,6.856,2.220
213,6.971,2.271
214,6.908,2.137
215,6.899,2.265
216,7.071,2.285
217,6.843,2.184
218,6.897,2.337
219,6.436,2.256
220,6.641,2.347
221,6.669,2.402
222,6.640,2.515
223,6.635,2.445
224,6.572,2.394
225,6.504,2.403
226,6.560,2.316
227,6.470,2.324
228,6.443,2.294
229,6.270,2.326
230,6.428,2.331
231,6.696,2.279
232,6.743,2.268
233,6.690,2.324
234,6.596,2.346
235,6.677,2.419
236,6.750,2.496
237,6.754,2.388
238,6.707,2.388
239,6.896,2.368
240,6.862,2.371
241,6.790,2.348
242,5.666,2.384
243,5.745,2.375
244,5.732,2.436
245,5.542,2.373
246,5.569,2.555
247,5.788,2.544
248,5.682,2.454
249,5.475,2.367
250,5.662,2.371
251,5.219,2.487
252,5.075,2.522
253,5.175,2.494
254,5.250,2.522
255,5.062,2.313
256,5.076,2.449
257,5.050,2.441
258,5.835,2.542
259,5.231,2.415
260,5.273,2.505
261,5.340,2.551
262,5.291,2.447
263,5.296,2.492
264,5.264,2.481
265,6.852,2.446
266,7.182,2.514
267,6.774,2.447
268,6.645,2.378
269,7.174,2.368
270,7.378,2.473
271,7.361,2.396
272,6.858,2.397
273,6.841,2.395
274,6.868,2.385
275,7.135,2.362
276,7.165,2.438
277,7.158,2.333
278,7.127,2.373
279,6.982,2.395
280,7.048,2.418
281,6.597,2.466
282,6.523,2.419
283,6.578,2.396
284,6.557,2.354
285,6.430,2.377
286,6.461,2.335
287,6.482,2.313
288,6.544,2.265
289,6.637,2.343
290,6.678,2.416
291,6.638,2.366
292,6.584,2.293
293,6.722,2.378
294,6.681,2.337
295,6.870,2.389
296,6.771,2.376
297,6.792,2.293
298,6.727,2.410
299,6.792,2.298
300,6.910,2.328
301,6.935,2.399
302,6.908,2.349
303,6.952,2.355
304,6.983,2.409
305,6.835,2.405
306,6.648,2.428
307,6.659,2.463
308,6.814,2.384
309,6.897,2.341
310,6.866,2.254
311,6.747,2.351
312,6.786,2.337
313,6.791,2.411
314,7.005,2.432
315,6.995,2.395
316,6.880,2.358
317,6.736,2.311
318,7.056,2.253
319,7.047,2.297
320,7.097,2.231
321,6.900,2.257
322,6.850,2.268
323,6.947,2.377
324,6.949,2.347
325,7.056,2.295
326,7.105,2.162
327,7.056,2.242
328,7.170,2.347
329,6.862,2.230
330,6.983,2.222
331,6.893,2.148
332,6.860,2.216
333,6.752,2.267
334,6.771,2.257
335,6.950,2.124
336,6.962,2.271
337,6.982,2.202
338,7.065,2.340
339,6.827,2.301
340,6.986,2.246
341,7.015,2.245
342,5.347,2.324
343,5.382,2.319
344,5.319,2.356
345,5.333,2.312
346,5.379,2.378
347,5.588,2.308
348,7.200,2.345
349,7.159,2.330
350,6.960,2.290
351,6.911,2.223
352,7.165,2.247
353,7.073,2.231
354,7.177,2.402
355,7.070,2.282
356,6.971,2.283
357,7.030,2.266
358,6.994,2.243
359,6.961,2.404
360,6.903,2.401
361,6.953,2.398
362,6.864,2.330
363,7.114,2.362
364,5.582,2.299
365,5.738,2.324
366,5.743,2.368
367,5.608,2.411
368,5.516,2.427
369,5.282,2.348
370,5.450,2.330
371,5.404,2.330
372,5.407,2.393
373,5.404,2.373
374,5.455,2.444
375,5.385,2.377
376,5.290,2.437
377,5.460,2.441
378,5.538,2.384
379,5.523,2.365
380,5.390,2.353
381,5.378,2.304
382,5.385,2.294
383,5.502,2.246
384,5.501,2.240
385,5.487,2.271
386,5.473,2.372
387,5.493,2.225
388,5.452,2.320
389,5.399,2.288
390,5.414,2.202
391,5.613,2.250
392,5.724,2.195
393,5.538,2.208
394,5.688,2.156
395,5.683,2.328
396,5.511,2.291
397,5.504,2.262
398,5.325,2.235
399,5.574,2.261
400,5.567,2.267
401,5.481,2.163
402,5.386,2.246
403,5.393,2.248
404,5.406,2.209
405,5.652,2.224
406,5.734,2.260
407,5.856,2.266
408,5.977,2.275
409,5.941,2.282
410,5.926,2.344
411,5.645,2.335
412,5.615,2.273
413,5.666,2.274
414,5.798,2.368
415,5.738,2.239
416,5.683,2.302
417,5.734,2.303
418,5.781,2.323
419,5.880,2.343
420,5.828,2.230
421,5.947,2.316
422,5.836,2.309
423,5.959,2.295
424,5.930,2.407
425,5.849,2.316
426,6.003,2.455
427,6.090,2.471
428,6.039,2.307
429,6.184,2.330
430,6.341,2.361
431,6.269,2.399
432,6.288,2.429
433,6.331,2.339
434,6.207,2.385
435,6.193,2.425
436,6.323,2.243
437,6.327,2.291
438,6.091,2.156
439,5.985,2.247
440,5.999,2.199
441,6.140,2.209
442,6.313,2.224
443,6.386,2.272
444,6.453,2.353
445,6.589,2.288
446,6.489,2.160
447,6.425,2.115
448,6.315,2.109
449,6.286,2.149
450,6.429,2.128
451,6.365,2.156
452,6.254,2.237
453,6.294,2.272
454,6.392,2.240
455,6.417,2.225
456,6.439,2.338
457,6.510,2.304
458,6.451,2.358
459,6.629,2.297
460,6.526,2.291
461,6.556,2.268
462,6.623,2.218
463,6.604,2.126
464,6.655,2.167
465,6.532,2.236
466,6.501,2.145
467,6.466,2.082
468,7.590,2.160
469,7.559,2.145
470,7.450,2.245
471,7.367,2.227
472,7.237,2.185
473,7.336,2.127
474,7.350,2.159
475,7.291,2.237
476,7.270,2.153
477,7.486,2.057
478,7.600,2.089
479,7.651,2.078
480,7.634,2.146
481,7.502,2.200
482,7.534,2.157
483,7.439,2.202
484,7.795,2.231
485,7.877,2.181
486,7.986,2.289
487,7.980,2.195
488,7.978,2.205
489,7.770,2.197
490,7.737,2.240
491,6.692,2.287
492,6.707,2.205
493,6.571,2.196
494,6.641,2.171
495,6.500,2.167
496,6.506,2.181
497,6.476,2.215
498,6.370,2.262
499,7.493,2.241
500,7.458,2.210
501,7.291,2.271
502,7.517,2.313
503,7.566,2.300
504,6.489,2.291
505,7.692,2.311
506,6.639,2.258
507,6.341,2.217
508,6.347,2.188
509,6.284,2.234
510,6.133,2.245
511,6.119,2.272
512,6.187,2.216
513,6.247,2.173
514,6.200,2.223
515,6.477,2.312
516,6.330,2.398
517,6.442,2.393
518,6.253,2.352
519,6.353,2.269
520,6.250,2.227
521,6.295,2.216
522,6.278,2.113
523,6.225,2.179
524,6.256,2.221
525,6.146,2.260
526,6.221,2.314
527,6.385,2.310
528,6.253,2.380
529,6.355,2.200
530,6.358,2.234
531,6.508,2.286
532,6.530,2.240
533,6.727,2.260
534,6.814,2.296
535,6.766,2.251
536,6.742,2.295
537,6.754,2.281
538,7.067,2.404
539,7.021,2.225
540,7.219,2.186
541,7.284,2.185
542,7.164,2.176
543,7.286,2.166
544,7.177,2.172
545,7.114,2.127
546,7.102,2.231
547,7.191,2.161
548,7.182,2.244
549,7.170,2.208
550,7.379,2.231
551,7.348,2.272
552,7.326,2.205
553,7.429,2.351
554,7.461,2.322
555,7.321,2.379
556,7.379,2.262
557,7.314,2.285
558,7.137,2.351
559,6.951,2.348
560,6.848,2.238
561,7.249,2.286
562,7.271,2.273
563,7.310,2.396
564,7.139,2.268
565,7.140,2.225
566,6.935,2.266
567,8.466,2.230
568,8.553,2.348
569,8.506,2.308
570,8.551,2.336
571,8.602,2.367
572,8.644,2.341
573,8.609,2.482
574,8.696,2.442
575,8.645,2.400
576,8.498,2.344
577,8.456,2.397
578,8.651,2.367
579,8.414,2.389
580,8.425,2.284
581,8.553,2.429
582,8.474,2.385
583,8.327,2.330
584,8.223,2.273
585,8.172,2.220
586,8.237,2.329
587,8.208,2.348
588,8.188,2.342
589,8.001,2.200
590,8.145,2.244
591,8.312,2.306
592,8.134,2.213
593,8.330,2.330
594,8.350,2.210
595,8.124,2.326
596,8.380,2.313
597,8.216,2.241
598,8.489,2.150
599,8.402,2.237
600,8.389,2.300
601,8.473,2.244
602,8.325,2.335
603,8.137,2.259
604,8.015,2.475
605,7.906,2.380
606,7.972,2.347
607,7.952,2.343
608,8.111,2.435
609,8.141,2.283
610,8.301,2.408
611,7.997,2.422
612,8.289,2.361
613,8.132,2.328
614,8.011,2.412
615,7.886,2.400
616,7.836,2.352
617,7.883,2.286
618,7.610,2.445
619,7.476,2.526
620,7.796,2.576
621,7.909,2.443
622,7.775,2.307
623,7.967,2.378
624,7.853,2.380
625,7.796,2.421
626,8.017,2.345
627,7.964,2.293
628,8.060,2.327
629,8.109,2.223
630,8.233,2.238
631,8.092,2.256
632,8.180,2.321
633,8.162,2.365
634,7.782,2.228
635,7.757,2.336
636,7.893,2.344
637,7.839,2.271
638,8.245,2.237
639,8.072,2.272
640,8.004,2.247
641,7.950,2.207
642,8.108,2.301
643,8.033,2.283
644,8.321,2.336
645,8.547,2.237
646,8.567,2.199
647,8.681,2.185
648,8.568,2.231
649,8.626,2.217
650,8.479,2.333
651,8.492,2.274
652,8.686,2.320
653,8.433,2.258
654,8.537,2.170
655,8.592,2.210
656,8.881,2.243
657,8.623,2.256
658,8.586,2.251
659,8.575,2.270
660,8.310,2.201
661,8.401,2.287
662,8.349,2.233
663,8.480,2.205
664,8.641,2.275
665,8.497,2.238
666,8.644,2.202
667,8.421,2.198
668,8.643,2.163
669,8.821,2.164
670,8.828,2.254
671,8.807,2.298
672,8.689,2.184
673,8.887,2.325
674,8.905,2.266
675,8.830,2.318
676,8.861,2.401
677,8.828,2.358
678,8.736,2.441
679,8.529,2.391
680,8.729,2.306
681,8.539,2.273
682,8.474,2.240
683,8.515,2.267
684,8.419,2.262
685,8.833,2.405
686,8.746,2.329
687,8.655,2.413
688,8.641,2.307
689,8.704,2.305
690,8.904,2.270
691,8.870,2.417
692,8.760,2.454
693,8.781,2.341
694,8.787,2.441
695,8.765,2.438
696,8.841,2.335
697,8.796,2.470
698,8.903,2.308
699,8.901,2.341
700,8.766,2.317
701,8.536,2.360
702,8.722,2.506
703,8.764,2.379
704,8.931,2.386
705,8.937,2.405
706,8.946,2.420
707,8.958,2.353
708,9.148,2.286
709,9.242,2.387
710,9.299,2.294
711,9.292,2.284
712,9.447,2.299
713,9.443,2.343
714,9.427,2.230
715,9.413,2.299
716,9.387,2.346
717,9.549,2.321
718,9.645,2.390
719,9.483,2.443
720,9.475,2.400
721,9.371,2.422
722,9.503,2.325
723,9.640,2.409
724,9.690,2.381
725,9.499,2.346
726,9.508,2.338
727,9.452,2.322
728,9.318,2.297
729,9.320,2.354
730,9.031,2.398
731,9.082,2.417
