frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.079,0.842
2,1.446,1.002
3,1.554,1.034
4,1.631,1.059
5,1.712,1.090
6,1.854,1.132
7,1.986,1.262
8,2.080,1.393
9,2.177,1.412
10,2.274,1.448
11,2.348,1.474
12,2.397,1.444
13,2.591,1.549
14,2.655,1.560
15,2.772,1.636
16,2.838,1.638
17,2.807,1.643
18,2.888,1.669
19,2.842,1.695
20,2.885,1.663
21,3.059,1.871
22,3.157,1.750
23,3.206,1.823
24,3.122,1.731
25,3.307,1.865
26,3.505,1.854
27,3.461,1.716
28,3.451,1.730
29,3.554,1.781
30,3.435,1.803
31,3.458,1.833
32,3.593,1.858
33,3.646,1.828
34,3.531,1.907
35,3.480,1.772
36,3.646,1.969
37,3.643,1.885
38,3.831,1.902
39,3.658,1.955
40,3.564,1.849
41,3.715,1.956
42,3.784,2.029
43,3.838,1.880
44,3.768,1.746
45,3.873,1.902
46,3.776,1.820
47,3.728,1.788
48,3.722,1.746
49,3.728,1.795
50,4.058,1.857
51,4.006,1.995
52,3.749,1.895
53,3.852,2.009
54,3.881,1.983
55,3.964,1.980
56,4.058,1.942
57,3.957,1.906
58,4.079,2.008
59,3.864,1.950
60,4.024,1.805
61,4.070,1.894
62,4.037,1.911
63,4.181,2.017
64,4.082,1.910
65,4.314,1.974
66,4.116,1.901
67,4.219,1.958
68,4.082,1.946
69,4.128,2.002
70,4.253,2.115
71,4.364,2.006
72,4.278,2.078
73,4.164,2.040
74,4.209,1.985
75,4.263,2.065
76,4.364,2.091
77,4.410,2.051
78,4.602,2.046
79,4.635,2.095
80,4.579,1.887
81,4.835,1.978
82,4.541,1.944
83,4.632,1.996
84,4.947,1.903
85,5.136,2.077
86,5.120,1.901
87,5.197,1.978
88,5.140,1.991
89,5.087,2.114
90,5.083,2.130
91,5.209,2.216
92,5.103,2.167
93,4.907,2.160
94,4.960,2.230
95,4.915,2.167
96,5.220,2.262
97,5.292,2.226
98,4.831,2.094
99,5.020,2.213
100,5.205,2.328
101,5.314,2.310
102,5.329,2.330
103,5.171,2.181
104,4.937,2.049
105,5.065,2.160
106,5.158,2.216
107,5.264,2.166
108,5.123,2.100
109,5.087,2.082
110,4.808,2.167
111,4.817,2.204
112,4.827,2.127
113,4.739,2.138
114,4.858,2.084
115,4.758,2.061
116,4.844,2.142
117,4.851,2.204
118,4.855,2.126
119,5.005,2.062
120,4.908,2.132
121,4.871,2.085
122,4.816,2.187
123,5.004,2.227
124,4.960,2.207
125,5.040,2.183
126,5.086,2.152
127,5.182,2.157
128,5.110,2.162
129,4.941,2.143
130,4.897,2.176
131,4.845,2.159
132,4.926,2.210
133,4.978,2.127
134,5.040,2.184
135,4.723,2.147
136,4.544,2.133
137,4.745,2.217
138,4.821,2.127
139,4.649,2.065
140,4.514,2.121
141,4.506,2.113
142,4.461,2.100
143,4.360,2.119
144,4.362,2.156
145,4.439,2.193
146,4.556,2.215
147,4.683,2.266
148,4.544,2.250
149,4.655,2.231
150,4.545,2.111
151,4.528,2.121
152,4.360,2.097
153,4.191,2.081
154,4.220,2.125
155,4.066,2.076
156,4.055,2.110
157,4.230,2.095
158,4.321,2.005
159,4.593,2.041
160,4.498,2.113
161,4.476,2.125
162,4.305,1.978
163,4.349,2.073
164,4.180,2.042
165,4.271,2.144
166,4.296,2.155
167,4.222,2.129
168,4.420,2.181
169,4.297,2.184
170,4.404,2.158
171,4.349,2.168
172,4.519,2.168
173,4.613,2.128
174,4.487,2.222
175,4.517,2.218
176,4.532,2.283
177,4.564,2.408
178,4.571,2.367
179,4.581,2.444
180,4.656,2.396
181,4.717,2.314
182,4.617,2.358
183,4.650,2.300
184,4.542,2.258
185,4.575,2.281
186,4.821,2.280
187,4.727,2.114
188,4.781,2.320
189,4.779,2.338
190,4.535,2.140
191,4.633,2.251
192,4.774,2.337
193,4.857,2.357
194,4.780,2.369
195,4.858,2.263
196,5.027,2.331
197,5.050,2.263
198,4.920,2.179
199,4.980,2.108
200,5.026,2.184
201,5.110,2.276
202,5.042,2.278
203,5.008,2.282
204,4.923,2.256
205,5.091,2.203
206,5.095,2.244
207,5.178,2.297
208,5.095,2.129
209,5.293,2.203
210,5.287,2.190
211,5.215,2.151
212,5.181,2.116
213,5.168,2.128
214,5.209,2.151
215,5.133,2.143
216,4.994,2.092
217,4.949,2.047
218,4.972,2.043
219,5.191,2.108
220,5.212,2.085
221,5.255,2.127
222,5.165,2.061
223,5.252,2.114
224,5.408,2.098
225,5.335,2.101
226,5.244,2.055
227,5.239,1.933
228,5.341,2.081
229,5.333,2.047
230,5.365,2.002
231,5.245,2.015
232,5.369,1.996
233,5.609,2.017
234,5.430,1.997
235,5.284,1.894
236,5.290,1.954
237,5.414,1.968
238,5.332,2.048
239,5.464,2.008
240,5.501,1.983
241,5.512,2.005
242,5.446,2.095
243,5.304,2.079
244,5.315,2.123
245,5.444,2.152
246,5.630,2.130
247,5.808,2.100
248,5.863,2.168
249,5.870,2.253
250,5.706,2.205
251,5.615,2.327
252,5.618,2.282
253,5.761,2.214
254,5.855,2.288
255,5.596,2.330
256,5.666,2.249
257,5.614,2.230
258,5.481,2.220
259,5.450,2.130
260,5.520,2.182
261,5.705,2.177
262,5.590,2.101
263,5.614,2.106
264,5.594,2.179
265,5.497,2.134
266,5.622,2.157
267,5.684,2.256
268,5.773,2.251
269,5.674,2.165
270,5.934,2.114
271,5.973,2.139
272,5.857,2.139
273,5.862,2.091
274,5.775,2.038
275,5.793,2.016
276,5.871,2.064
277,5.394,2.081
278,5.595,2.091
279,5.649,2.096
280,5.664,2.112
281,5.898,2.165
282,5.955,2.123
283,5.936,2.227
284,5.954,2.059
285,5.695,2.076
286,5.636,2.111
287,5.777,2.256
288,5.726,2.315
289,5.739,2.262
290,5.609,2.246
291,5.942,2.228
292,5.936,2.199
293,5.816,2.149
294,5.734,2.174
295,5.761,2.250
296,5.831,2.141
297,5.753,2.199
298,5.795,2.173
299,5.647,2.256
300,5.677,2.217
301,5.670,2.237
302,5.663,2.208
303,5.624,2.186
304,5.684,2.179
305,5.694,2.259
306,5.818,2.196
307,5.774,2.145
308,5.828,2.241
309,5.791,2.184
310,5.886,2.169
311,5.814,2.190
312,5.801,2.266
313,5.695,2.188
314,5.801,2.077
315,5.881,2.121
316,5.750,2.032
317,5.727,2.098
318,5.734,2.071
319,5.652,2.129
320,5.641,2.179
321,5.725,2.169
322,5.632,2.122
323,5.825,2.277
324,5.783,2.243
325,5.810,2.280
326,5.758,2.244
327,5.788,2.333
328,5.612,2.288
329,5.495,2.189
330,5.539,2.147
331,5.666,2.204
332,5.676,2.227
333,5.621,2.263
334,5.753,2.294
335,5.924,2.336
336,5.817,2.306
337,5.849,2.263
338,5.838,2.239
339,6.035,2.323
340,5.856,2.250
341,5.750,2.195
342,5.998,2.173
343,5.867,2.155
344,6.064,2.234
345,6.058,2.255
346,6.226,2.261
347,6.187,2.255
348,6.180,2.177
349,6.172,2.349
350,6.392,2.244
351,6.292,2.292
352,6.352,2.469
353,6.253,2.304
354,6.242,2.130
355,6.194,2.193
356,6.287,2.236
357,6.208,2.284
358,6.196,2.232
359,6.420,2.192
360,6.416,2.166
361,6.394,2.137
362,6.707,2.237
363,6.389,2.281
364,6.390,2.216
365,6.474,2.264
366,6.320,2.233
367,6.246,2.245
368,6.288,2.232
369,6.149,2.316
370,6.073,2.231
371,6.135,2.272
372,6.095,2.312
373,6.191,2.224
374,6.201,2.237
375,5.997,2.279
376,5.975,2.284
377,6.080,2.287
378,6.158,2.330
379,6.138,2.373
380,6.203,2.364
381,6.233,2.391
