frame,global_rmsd,core_rmsd
0,0.000,0.000
1,1.185,0.864
2,1.354,0.916
3,1.556,0.913
4,1.733,0.969
5,1.847,1.112
6,1.920,1.053
7,2.133,1.236
8,2.105,1.247
9,2.288,1.405
10,2.442,1.389
11,2.364,1.398
12,2.568,1.434
13,2.571,1.380
14,2.705,1.447
15,2.809,1.515
16,2.862,1.464
17,2.950,1.567
18,3.015,1.540
19,3.063,1.645
20,3.072,1.705
21,3.110,1.687
22,3.119,1.655
23,3.188,1.682
24,3.128,1.671
25,3.264,1.703
26,3.354,1.736
27,3.173,1.751
28,3.111,1.723
29,3.065,1.683
30,3.205,1.692
31,3.098,1.743
32,3.275,1.770
33,3.569,1.828
34,3.568,1.746
35,3.623,1.746
36,3.554,1.774
37,3.586,1.765
38,3.574,1.766
39,3.708,1.879
40,3.716,1.803
41,3.601,1.800
42,3.741,1.819
43,3.581,1.888
44,3.674,1.918
45,3.497,1.885
46,3.442,1.888
47,3.592,1.951
48,3.688,1.908
49,3.655,1.923
50,3.715,1.986
51,3.725,2.003
52,3.683,1.997
53,3.692,2.041
54,3.594,2.038
55,3.559,1.951
56,3.554,1.903
57,3.457,1.906
58,3.442,1.873
59,3.678,1.937
60,3.839,1.929
61,3.709,1.811
62,3.887,1.948
63,3.710,1.828
64,3.873,1.919
65,3.820,1.928
66,3.745,1.913
67,3.557,1.861
68,3.654,1.856
69,3.796,1.921
70,3.671,1.861
71,3.838,1.927
72,3.673,1.920
73,3.658,1.973
74,3.651,1.901
75,3.592,1.975
76,3.761,2.082
77,3.833,1.931
78,3.770,1.807
79,3.774,1.863
80,3.598,1.889
81,3.850,1.901
82,3.937,1.945
83,3.988,1.906
84,4.127,1.985
85,4.073,2.062
86,3.993,1.977
87,4.014,1.898
88,3.982,1.831
89,4.033,1.976
90,3.983,1.911
91,3.945,1.891
92,4.169,2.005
93,3.976,2.046
94,3.979,2.054
95,3.773,1.965
96,3.901,2.053
97,3.805,1.988
98,3.826,2.014
99,3.920,2.027
100,3.875,1.935
101,3.706,1.988
102,3.814,2.135
103,3.893,2.055
104,3.972,2.075
105,3.996,2.073
106,4.106,2.089
107,3.975,2.090
108,4.076,1.989
109,3.863,1.995
110,3.826,1.900
111,3.657,1.892
112,3.665,1.973
113,3.598,2.027
114,3.651,1.988
115,3.811,1.963
116,3.811,1.952
117,3.811,1.993
118,3.745,1.946
119,3.888,1.933
120,3.748,2.008
121,3.593,1.880
122,3.526,1.933
123,3.525,1.959
124,3.440,1.973
125,3.571,1.978
126,3.464,1.920
127,3.581,1.883
128,3.420,1.799
129,3.478,1.902
130,3.436,1.928
131,3.341,1.856
132,3.415,1.915
133,3.552,2.021
134,3.616,2.018
135,3.668,1.873
136,3.786,1.940
137,3.836,2.033
138,3.846,1.914
139,3.832,1.917
140,3.968,1.955
141,3.878,1.880
142,3.868,1.919
143,3.884,1.921
144,3.917,1.867
145,3.974,1.856
146,4.094,1.950
147,4.223,1.973
148,4.096,1.914
149,4.119,1.944
150,4.110,1.960
151,4.304,2.018
152,4.128,2.020
153,4.114,1.994
154,4.121,2.001
155,4.172,2.038
156,4.248,2.008
157,4.224,1.950
158,4.351,1.945
159,4.403,1.967
160,4.488,1.948
161,4.595,2.025
162,4.533,2.005
163,4.536,2.005
164,4.516,1.981
165,4.638,1.995
166,4.704,1.980
167,4.745,2.054
168,4.559,2.061
169,4.638,2.086
170,4.556,2.044
171,4.630,2.105
172,4.741,2.193
173,4.717,2.208
174,4.658,2.121
175,4.817,2.165
176,4.737,2.064
177,4.731,2.013
178,4.779,2.062
179,4.801,2.091
180,4.813,2.142
181,4.701,2.171
182,4.716,2.178
183,4.607,2.033
184,4.672,2.034
185,4.576,2.006
186,4.645,2.011
187,4.546,2.098
188,4.586,2.104
189,4.504,2.020
190,4.513,1.942
191,4.446,1.933
192,4.606,1.950
193,4.624,1.943
194,4.549,1.879
195,4.585,2.009
196,4.479,1.959
197,4.382,1.983
198,4.411,2.057
199,4.441,1.979
200,4.478,2.071
201,4.368,2.098
202,4.426,2.080
203,4.403,2.007
204,4.314,2.020
205,4.358,1.946
206,4.388,1.900
207,4.421,1.930
208,4.410,1.985
209,4.394,2.060
210,4.288,1.985
211,4.421,2.050
212,4.472,2.189
213,4.612,2.076
214,4.572,2.033
215,4.404,2.032
216,4.475,1.912
217,4.350,1.925
218,4.447,2.006
219,4.337,1.960
220,4.274,2.024
221,4.149,1.970
222,4.215,1.975
223,4.085,1.937
224,4.111,1.893
225,4.227,1.860
226,4.311,1.938
227,4.203,1.931
228,4.182,1.948
229,4.300,1.937
230,4.310,1.898
231,4.411,2.003
232,4.456,2.031
233,4.476,2.126
234,4.453,2.105
235,4.242,2.051
236,4.278,2.031
237,4.475,2.081
238,4.530,2.119
239,4.476,2.138
240,4.403,2.114
241,4.560,2.152
242,4.582,2.065
243,4.706,2.086
244,4.667,2.106
245,4.544,2.077
246,4.475,2.079
247,4.438,1.970
248,4.521,2.042
249,4.611,2.136
250,4.582,2.143
251,4.427,2.121
252,4.520,2.055
253,4.495,2.103
254,4.587,2.080
